WangLab No.,CDCF No.,Survival%,Log2(Survival%),Log2(Survival%+1),Log2(Survival%+1)_zscore,out_come,out_come_5,out_come_10
W7013,CDCF8818,1.983636925,0.988147986,1.57707198652989,-0.664724806,0,2,4
W7030,CDCF8821,10.70268362,3.419900682,3.54876749608794,0.5808092336721712,0,4,7
W7035,CDCF8919,12.37545788,3.629409999,3.74151637431485,0.7025700672787932,0,4,8
W7036,CDCF8920,6.281012658,2.650997177,2.86413911737483,0.14832463054663095,0,3,6
W7047,CDCF8830,13.61653794,3.767288034,3.86952973092732,0.7834370126913968,0,4,8
W7052,CDCF8924,8.860391327,3.147370418,3.30164490368329,0.4247001391289755,0,4,7
W7064,CDCF8838,0.183306056,-2.447673648,0.242823267132388,-1.507579186,0,1,2
W7066,CDCF8840,5.128926395,2.358656867,2.6156343788716,-0.008657575,0,3,5
W7073,CDCF8847,9.793265132,3.291789943,3.43205946363919,0.5070839417261426,0,4,7
W7086,CDCF8855,4.391705069,2.134781171,2.43074158202629,-0.125455667,0,2,5
W7090,CDCF8859,5.660079051,2.500822203,2.73553930137491,0.06708721457902742,0,3,6
W7091,CDCF8860,6.802168022,2.765994643,2.96387506750304,0.21132853770225687,0,3,6
W7093,CDCF8862,1.342156863,0.424553294,1.22783770159747,-0.885338581,0,2,3
W7101,CDCF8870,4.622898682,2.208797744,2.49131405155748,-0.087191608,0,2,5
W7134,CDCF8892,13.82332643,3.789032921,3.88979732717878,0.796240197008117,0,4,9
W7179,CDCF8905,22.34042553,4.481584761,4.54475895872556,1.2099841055127696,1,5,9
W7180,CDCF8906,55.06738544,5.783126207,5.80908988996626,2.0086709230893374,1,5,10
W7251,CDCF8961,17.62880987,4.139863176,4.21946360328421,1.0044927220543765,0,5,9
W7255,CDCF8965,1.008499171,0.012209898,1.00611786578229,-1.025400574,0,1,3
W7258,CDCF8967,1.732336957,0.792719576,1.45013541024834,-0.744911541,0,2,4
W7286,CDCF8983,1.302177858,0.380926513,1.20299929549278,-0.901029178,0,2,3
W7305,CDCF8989,46.3982684,5.535999059,5.56676244897159,1.8555909597053997,1,5,10
W7310,CDCF8994,1.312316716,0.392115943,1.20933901576634,-0.897024332,0,2,3
W7429,CDCF9006,25.67567568,4.682330338,4.73745290882745,1.331710240633193,1,5,10
W7477,CDCF9050,52.65158371,5.718405022,5.7455488525873,1.968531599059738,1,5,10
W7481,CDCF9052,17.70707071,4.146253661,4.22551176318063,1.008313387562516,0,5,9
W7509,CDCF9068,0.362852665,-1.462544231,0.446629603541718,-1.378833278,0,1,2
